iter	Passed	Remaining
0	0	87
1	1	97
2	3	107
3	4	108
4	6	114
5	7	115
6	8	115
7	9	114
8	11	113
9	12	112
10	13	112
11	15	112
12	16	110
13	17	108
14	18	107
15	19	104
16	21	103
17	22	101
18	22	97
19	23	95
20	24	92
21	25	90
22	26	88
23	27	87
24	28	86
25	29	84
26	30	83
27	31	81
28	32	79
29	33	78
30	34	77
31	35	76
32	36	75
33	37	73
34	38	72
35	39	70
36	40	69
37	41	67
38	42	66
39	43	64
40	43	63
41	44	60
42	44	59
43	45	58
44	46	56
45	47	55
46	48	54
47	48	53
48	49	51
49	50	50
50	50	48
51	51	47
52	52	46
53	52	44
54	53	43
55	53	42
56	54	41
57	55	39
58	55	38
59	56	37
60	56	36
61	57	35
62	58	34
63	58	33
64	59	31
65	59	30
66	60	29
67	61	28
68	62	27
69	62	26
70	63	25
71	63	24
72	64	23
73	64	22
74	65	21
75	66	20
76	66	20
77	67	19
78	68	18
79	69	17
80	69	16
81	70	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	10
87	74	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	81	0
