iter	Passed	Remaining
0	151	151573
1	155	77456
2	157	52251
3	162	40459
4	165	32844
5	169	28001
6	171	24304
7	173	21563
8	176	19473
9	180	17843
10	182	16391
11	184	15207
12	188	14314
13	190	13432
14	193	12722
15	195	12033
16	198	11470
17	200	10950
18	203	10519
19	206	10104
20	209	9758
21	212	9438
22	215	9148
23	217	8861
24	220	8602
25	222	8350
26	224	8101
27	227	7897
28	229	7681
29	231	7470
30	233	7295
31	235	7121
32	237	6952
33	239	6797
34	240	6628
35	241	6474
36	243	6340
37	245	6211
38	246	6077
39	248	5956
40	249	5838
41	251	5730
42	252	5615
43	253	5505
44	254	5402
45	256	5309
46	257	5219
47	258	5125
48	259	5038
49	261	4963
50	262	4890
51	264	4813
52	265	4740
53	266	4673
54	268	4607
55	269	4542
56	270	4475
57	271	4412
58	273	4360
59	275	4308
60	276	4254
61	277	4197
62	278	4148
63	280	4097
64	281	4045
65	282	3996
66	283	3945
67	284	3897
68	285	3853
69	286	3807
70	287	3764
71	288	3722
72	289	3679
73	290	3637
74	291	3600
75	292	3560
76	293	3522
77	294	3485
78	295	3450
79	297	3417
80	298	3385
81	299	3351
82	299	3313
83	300	3281
84	302	3252
85	303	3224
86	304	3195
87	305	3165
88	306	3136
89	307	3108
90	308	3081
91	309	3056
92	310	3032
93	311	3006
94	312	2981
95	313	2956
96	314	2931
97	315	2908
98	317	2886
99	318	2864
100	319	2841
101	320	2818
102	321	2796
103	322	2774
104	323	2755
105	324	2735
106	325	2715
107	326	2695
108	327	2675
109	328	2656
110	329	2639
111	330	2623
112	331	2605
113	333	2588
114	334	2570
115	335	2554
116	336	2536
117	337	2521
118	338	2504
119	339	2487
120	340	2470
121	340	2452
122	342	2439
123	343	2426
124	344	2410
125	345	2397
126	346	2382
127	347	2370
128	349	2359
129	350	2346
130	351	2333
131	353	2321
132	354	2309
133	355	2298
134	356	2285
135	357	2274
136	358	2261
137	360	2249
138	361	2238
139	362	2226
140	363	2214
141	364	2200
142	365	2188
143	366	2177
144	367	2167
145	368	2155
146	369	2144
147	370	2133
148	371	2123
149	373	2117
150	375	2109
151	376	2100
152	377	2090
153	378	2082
154	380	2072
155	381	2063
156	382	2052
157	383	2042
158	384	2035
159	385	2026
160	386	2014
161	387	2006
162	388	1996
163	390	1988
164	391	1981
165	392	1973
166	393	1964
167	394	1955
168	395	1946
169	397	1938
170	398	1930
171	399	1922
172	400	1912
173	401	1904
174	402	1896
175	403	1889
176	404	1881
177	405	1874
178	406	1866
179	407	1857
180	408	1849
181	409	1842
182	411	1835
183	411	1827
184	412	1819
185	413	1811
186	414	1803
187	416	1797
188	417	1791
189	418	1785
190	419	1778
191	421	1772
192	422	1765
193	423	1759
194	424	1754
195	426	1748
196	427	1741
197	429	1737
198	430	1732
199	431	1727
200	432	1720
201	434	1714
202	435	1709
203	436	1703
204	437	1697
205	438	1690
206	439	1685
207	441	1680
208	442	1674
209	443	1669
210	445	1664
211	446	1658
212	447	1652
213	448	1647
214	449	1641
215	450	1634
216	451	1629
217	452	1623
218	453	1618
219	454	1613
220	456	1608
221	457	1603
222	458	1598
223	459	1592
224	460	1587
225	462	1582
226	463	1577
227	464	1572
228	465	1568
229	467	1563
230	468	1558
231	469	1553
232	470	1548
233	471	1544
234	473	1540
235	474	1535
236	475	1531
237	476	1526
238	478	1523
239	479	1519
240	480	1514
241	482	1510
242	483	1505
243	484	1501
244	485	1497
245	486	1492
246	487	1487
247	488	1481
248	489	1477
249	490	1472
250	492	1468
251	493	1463
252	493	1458
253	494	1453
254	495	1448
255	497	1445
256	498	1441
257	499	1436
258	500	1432
259	501	1427
260	502	1423
261	503	1419
262	505	1415
263	506	1410
264	507	1406
265	508	1401
266	508	1397
267	509	1392
268	511	1389
269	512	1384
270	513	1380
271	514	1376
272	515	1371
273	516	1367
274	517	1363
275	518	1358
276	518	1354
277	519	1350
278	520	1345
279	522	1342
280	523	1338
281	524	1334
282	525	1330
283	525	1325
284	526	1321
285	527	1317
286	528	1313
287	529	1309
288	530	1305
289	531	1301
290	532	1297
291	533	1293
292	534	1289
293	535	1286
294	536	1282
295	537	1278
296	538	1274
297	539	1271
298	540	1267
299	542	1264
300	543	1261
301	544	1259
302	545	1255
303	547	1253
304	548	1250
305	549	1246
306	551	1243
307	552	1240
308	553	1237
309	554	1234
310	555	1230
311	556	1227
312	557	1223
313	558	1220
314	560	1217
315	561	1214
316	562	1211
317	563	1207
318	564	1204
319	565	1201
320	566	1198
321	567	1195
322	568	1191
323	569	1188
324	570	1185
325	571	1182
326	573	1179
327	573	1175
328	574	1172
329	575	1168
330	576	1165
331	577	1162
332	578	1158
333	579	1155
334	580	1152
335	581	1149
336	582	1146
337	583	1142
338	584	1139
339	585	1136
340	586	1133
341	587	1130
342	588	1127
343	589	1123
344	590	1120
345	591	1118
346	592	1115
347	593	1112
348	594	1109
349	595	1105
350	596	1102
351	597	1099
352	598	1096
353	600	1095
354	601	1092
355	602	1089
356	603	1086
357	604	1083
358	605	1081
359	606	1078
360	607	1075
361	608	1072
362	609	1069
363	610	1067
364	611	1064
365	613	1062
366	614	1059
367	615	1056
368	616	1054
369	617	1051
370	618	1049
371	619	1046
372	621	1043
373	622	1041
374	623	1038
375	624	1036
376	625	1033
377	626	1030
378	627	1027
379	628	1025
380	629	1022
381	630	1020
382	631	1017
383	633	1015
384	634	1012
385	635	1010
386	636	1008
387	637	1005
388	638	1002
389	639	1000
390	641	998
391	642	996
392	643	993
393	644	991
394	645	988
395	646	986
396	647	983
397	648	981
398	649	978
399	650	975
400	651	973
401	652	970
402	653	968
403	654	965
404	655	963
405	656	960
406	657	957
407	658	955
408	659	952
409	660	950
410	661	947
411	662	945
412	663	943
413	664	940
414	665	937
415	666	935
416	667	933
417	668	930
418	669	928
419	670	925
420	671	923
421	672	921
422	673	918
423	674	916
424	675	914
425	677	912
426	678	909
427	679	908
428	680	906
429	681	903
430	682	901
431	683	898
432	684	896
433	685	894
434	687	892
435	688	890
436	689	887
437	689	885
438	690	882
439	691	880
440	692	878
441	694	876
442	694	873
443	695	871
444	696	869
445	698	867
446	699	865
447	700	862
448	701	860
449	702	858
450	703	856
451	704	854
452	705	852
453	706	849
454	707	847
455	708	845
456	709	843
457	710	841
458	711	838
459	712	836
460	713	834
461	714	832
462	715	830
463	716	828
464	718	826
465	718	823
466	719	821
467	720	819
468	721	817
469	723	815
470	724	813
471	725	811
472	726	808
